slick_id,rank,source_id,type,cpa,tcpa,drift_overlap,ais_gap_anomaly,behavioral_anomaly,fused_score,dominant_factor,navic_tracked
SLK-0001,1,259641395,vessel,0.791,0.872,0.811,0.055,0.241,0.65,tcpa,False
SLK-0001,2,441816184,vessel,0.855,0.8,0.467,0.235,0.08,0.593,cpa,False
SLK-0005,1,DARK-9320,dark_vessel,0.484,0.534,0.596,0.726,0.474,0.554,ais_gap_anomaly,True
SLK-0007,1,259634216,vessel,0.699,0.906,0.437,0.182,0.418,0.593,tcpa,False
SLK-0007,2,419164005,vessel,0.778,0.488,0.631,0.314,0.08,0.537,cpa,False
SLK-0007,3,419608835,vessel,0.418,0.853,0.834,0.083,0.168,0.535,tcpa,False
SLK-0008,1,OFFSHORE-TERM-08,infrastructure,0.782,0.02,0.458,0.02,0.153,0.35,cpa,False
SLK-0009,1,412909670,vessel,0.868,0.656,0.406,0.284,0.277,0.576,cpa,False
SLK-0011,1,441885685,vessel,0.652,0.832,0.612,0.218,0.181,0.577,tcpa,False
SLK-0011,2,371711671,vessel,0.622,0.498,0.544,0.256,0.379,0.496,cpa,False
SLK-0011,3,412284987,vessel,0.6,0.426,0.711,0.076,0.142,0.454,drift_overlap,False
SLK-0012,1,419932480,vessel,0.619,0.637,0.629,0.371,0.187,0.545,tcpa,False
SLK-0012,2,DARK-1653,dark_vessel,0.325,0.638,0.394,0.832,0.579,0.518,ais_gap_anomaly,True
SLK-0012,3,419490278,vessel,0.556,0.428,0.733,0.271,0.108,0.472,drift_overlap,False
SLK-0014,1,563611724,vessel,0.788,0.674,0.686,0.07,0.152,0.568,cpa,False
SLK-0015,1,441095214,vessel,0.678,0.838,0.73,0.317,0.282,0.635,tcpa,False
SLK-0016,1,477617964,vessel,0.891,0.729,0.305,0.235,0.234,0.569,cpa,False
SLK-0018,1,477711116,vessel,0.777,0.902,0.79,0.198,0.058,0.652,tcpa,False
SLK-0018,2,DARK-5477,dark_vessel,0.512,0.327,0.541,0.859,0.733,0.546,ais_gap_anomaly,False
SLK-0020,1,412641605,vessel,0.71,0.872,0.971,0.02,0.246,0.653,drift_overlap,False
SLK-0020,2,563277997,vessel,0.62,0.418,0.376,0.02,0.058,0.374,cpa,False
SLK-0021,1,412528168,vessel,0.658,0.809,0.694,0.213,0.331,0.604,tcpa,False
SLK-0022,1,477613750,vessel,0.62,0.777,0.546,0.22,0.275,0.55,tcpa,False
SLK-0024,1,DARK-4131,dark_vessel,0.308,0.383,0.841,0.989,0.665,0.571,ais_gap_anomaly,False
SLK-0024,2,412676527,vessel,0.699,0.566,0.685,0.075,0.31,0.53,cpa,False
SLK-0025,1,441394731,vessel,0.789,0.744,0.761,0.29,0.419,0.66,cpa,False
SLK-0026,1,563829922,vessel,0.62,0.499,0.422,0.032,0.02,0.402,cpa,False
SLK-0028,1,259269495,vessel,0.731,0.521,0.642,0.022,0.21,0.502,cpa,False
