id,timestamp,sensor,scene_id,class,detection_confidence,slick_confidence,area_km2,age_estimate_hours,centroid_lat,centroid_lon,polygon_wkt,hitl_reviewed
SLK-0031,2026-06-01T21:35:38Z,EOS-04,EOS04_20260601_213538_209,old_vessel,0.783,0.591,16.924,62.8,9.53222,76.30175,"POLYGON((76.31869 9.5343, 76.30854 9.54767, 76.2851 9.55384, 76.28062 9.53286, 76.29139 9.50754, 76.31751 9.51183, 76.31869 9.5343))",True
SLK-0048,2026-06-03T15:57:51Z,Sentinel-1A,Sentinel1A_20260603_155751_974,coincident_vessel,0.832,0.963,6.064,79.1,9.80513,76.20364,"POLYGON((76.21436 9.8057, 76.20982 9.8156, 76.19595 9.81485, 76.19213 9.80496, 76.19919 9.79537, 76.20923 9.79746, 76.21436 9.8057))",False
SLK-0090,2026-06-05T04:51:11Z,EOS-04,EOS04_20260605_045111_110,natural_seep,0.948,0.689,3.175,22.1,9.42534,75.72371,"POLYGON((75.73434 9.4251, 75.72761 9.43051, 75.71935 9.43288, 75.71713 9.42593, 75.71927 9.41684, 75.72933 9.41552, 75.73434 9.4251))",True
SLK-0005,2026-06-05T20:50:24Z,EOS-04,EOS04_20260605_205024_973,ambiguous,0.942,0.719,18.679,16.4,9.78564,75.80306,"POLYGON((75.82074 9.78775, 75.82083 9.79635, 75.80428 9.81134, 75.79201 9.80765, 75.77799 9.79274, 75.78267 9.7772, 75.79235 9.77075, 75.80413 9.76059, 75.81642 9.77124, 75.82074 9.78775))",False
SLK-0017,2026-06-06T21:44:00Z,Sentinel-1B,Sentinel1B_20260606_214400_536,old_vessel,0.738,0.557,7.913,75.8,9.88885,75.61499,"POLYGON((75.63146 9.88666, 75.62667 9.90054, 75.61511 9.90553, 75.6071 9.89656, 75.5966 9.88883, 75.60146 9.87875, 75.61661 9.87446, 75.62794 9.87576, 75.63146 9.88666))",False
SLK-0041,2026-06-06T23:41:58Z,Sentinel-1A,Sentinel1A_20260606_234158_233,natural_seep,0.746,0.649,15.109,79.4,9.99688,75.63831,"POLYGON((75.66079 9.99454, 75.64962 10.01169, 75.64069 10.01409, 75.62586 10.00699, 75.6142 9.99364, 75.62395 9.98225, 75.63646 9.98195, 75.6502 9.98708, 75.66079 9.99454))",False
SLK-0078,2026-06-09T05:16:48Z,Sentinel-1B,Sentinel1B_20260609_051648_980,coincident_vessel,0.709,0.677,9.526,56.9,9.92521,76.27618,"POLYGON((76.29253 9.92464, 76.28769 9.93571, 76.28011 9.93929, 76.26456 9.94024, 76.25758 9.93412, 76.26473 9.92044, 76.26932 9.91636, 76.27995 9.9101, 76.29171 9.91187, 76.29253 9.92464))",True
SLK-0038,2026-06-09T16:09:23Z,Sentinel-1A,Sentinel1A_20260609_160923_205,coincident_vessel,0.789,0.661,15.403,22.9,9.95549,76.26851,"POLYGON((76.28358 9.95421, 76.27825 9.97324, 76.26158 9.96778, 76.25288 9.95621, 76.25938 9.93511, 76.27689 9.94097, 76.28358 9.95421))",False
SLK-0091,2026-06-10T13:57:15Z,EOS-04,EOS04_20260610_135715_971,old_vessel,0.927,0.671,19.831,18.1,9.65153,75.68624,"POLYGON((75.70691 9.65429, 75.70405 9.66583, 75.68491 9.67061, 75.67365 9.66343, 75.66998 9.65115, 75.67194 9.63964, 75.68438 9.6235, 75.70732 9.63121, 75.70691 9.65429))",False
SLK-0109,2026-06-10T14:05:26Z,Sentinel-1B,Sentinel1B_20260610_140526_431,old_vessel,0.876,0.359,8.869,4.8,10.16197,75.6221,"POLYGON((75.63304 10.16094, 75.63297 10.1711, 75.6279 10.18061, 75.61526 10.17331, 75.60598 10.16952, 75.60314 10.1573, 75.61698 10.15205, 75.62593 10.15032, 75.63299 10.15409, 75.63304 10.16094))",True
SLK-0011,2026-06-11T05:55:24Z,Sentinel-1B,Sentinel1B_20260611_055524_750,recent_vessel,0.969,0.547,8.288,90.4,9.49833,76.16249,"POLYGON((76.17963 9.4963, 76.17095 9.51141, 76.16037 9.5171, 76.1499 9.50306, 76.15004 9.49274, 76.15953 9.48542, 76.17492 9.48589, 76.17963 9.4963))",False
SLK-0118,2026-06-11T13:08:44Z,Sentinel-1B,Sentinel1B_20260611_130844_754,coincident_vessel,0.891,0.813,7.835,22.0,9.72572,76.31499,"POLYGON((76.32528 9.72519, 76.32664 9.73936, 76.31689 9.74371, 76.30456 9.7371, 76.29963 9.72525, 76.30337 9.71142, 76.31379 9.71248, 76.32337 9.71763, 76.32528 9.72519))",True
SLK-0098,2026-06-12T06:21:20Z,Sentinel-1B,Sentinel1B_20260612_062120_141,old_vessel,0.942,0.596,6.26,84.2,9.91293,76.32349,"POLYGON((76.3359 9.91299, 76.33491 9.92212, 76.32353 9.92908, 76.31186 9.92401, 76.31106 9.91243, 76.31621 9.90698, 76.32229 9.9005, 76.33149 9.90327, 76.3359 9.91299))",False
SLK-0086,2026-06-15T21:38:43Z,Sentinel-1A,Sentinel1A_20260615_213843_142,recent_vessel,0.795,0.626,18.53,43.0,9.60408,75.72536,"POLYGON((75.74426 9.60224, 75.74558 9.62383, 75.72405 9.61996, 75.71077 9.61979, 75.69766 9.60682, 75.71259 9.58977, 75.72914 9.57801, 75.74359 9.58808, 75.74426 9.60224))",True
SLK-0076,2026-06-15T23:01:38Z,Sentinel-1B,Sentinel1B_20260615_230138_850,recent_vessel,0.813,0.933,13.114,83.1,10.05154,76.27,"POLYGON((76.2861 10.05254, 76.28809 10.0654, 76.27086 10.07357, 76.2574 10.06551, 76.2528 10.0532, 76.25775 10.04243, 76.26771 10.03321, 76.28784 10.03688, 76.2861 10.05254))",True
SLK-0002,2026-06-17T00:46:25Z,EOS-04,EOS04_20260617_004625_533,natural_seep,0.808,0.601,3.596,91.6,10.22243,76.47257,"POLYGON((76.48008 10.2224, 76.48187 10.23086, 76.47181 10.23053, 76.46595 10.23005, 76.4615 10.22381, 76.46454 10.21287, 76.47264 10.21496, 76.48176 10.21421, 76.48008 10.2224))",True
SLK-0059,2026-06-17T13:26:57Z,Sentinel-1B,Sentinel1B_20260617_132657_715,coincident_vessel,0.771,0.777,2.857,57.1,9.43472,76.08701,"POLYGON((76.09439 9.43374, 76.09473 9.44259, 76.08474 9.44335, 76.07884 9.44016, 76.08035 9.43115, 76.08413 9.42689, 76.09479 9.42758, 76.09439 9.43374))",True
SLK-0089,2026-06-17T17:16:18Z,Sentinel-1A,Sentinel1A_20260617_171618_862,ambiguous,0.747,0.478,18.303,76.4,9.85866,76.25517,"POLYGON((76.28274 9.85799, 76.26542 9.87226, 76.24775 9.87702, 76.23791 9.85768, 76.24048 9.83457, 76.26949 9.83461, 76.28274 9.85799))",False
